date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:10:35	4111/4111	---M--	200	added ('OK')	image/png	etag:%2260089540-100f%22	https://tam-shellshock.swell.cl/img/hardBoiledFilled.png	C:/Users/Maaz/Desktop/https___tam-shellshock.swell.cl/tam-shellshock.swell.cl/img/hardBoiledFilled.png	(from https://tam-shellshock.swell.cl/)
00:10:35	32260/32260	---M--	200	added ('OK')	image/png	etag:%2260089540-7e04%22	https://tam-shellshock.swell.cl/img/ico_eggBreaker.png	C:/Users/Maaz/Desktop/https___tam-shellshock.swell.cl/tam-shellshock.swell.cl/img/ico_eggBreaker.png	(from https://tam-shellshock.swell.cl/)
00:10:36	19392/19392	---M--	200	added ('OK')	image/png	etag:%2260089541-4bc0%22	https://tam-shellshock.swell.cl/img/spatulaIcon.png	C:/Users/Maaz/Desktop/https___tam-shellshock.swell.cl/tam-shellshock.swell.cl/img/spatulaIcon.png	(from https://tam-shellshock.swell.cl/)
00:10:36	4961/4961	---M--	200	added ('OK')	image/png	etag:%2260089541-1361%22	https://tam-shellshock.swell.cl/img/ico_weaponPrimary_faded.png	C:/Users/Maaz/Desktop/https___tam-shellshock.swell.cl/tam-shellshock.swell.cl/img/ico_weaponPrimary_faded.png	(from https://tam-shellshock.swell.cl/styles/style.css?1615827388)
00:10:37	3990/3990	---M--	200	added ('OK')	image/png	etag:%2260089541-f96%22	https://tam-shellshock.swell.cl/img/ico_weaponSecondary_faded.png	C:/Users/Maaz/Desktop/https___tam-shellshock.swell.cl/tam-shellshock.swell.cl/img/ico_weaponSecondary_faded.png	(from https://tam-shellshock.swell.cl/styles/style.css?1615827388)
00:10:37	3509/3509	---M--	200	added ('OK')	image/png	etag:%2260089540-db5%22	https://tam-shellshock.swell.cl/img/ico_hat_faded.png	C:/Users/Maaz/Desktop/https___tam-shellshock.swell.cl/tam-shellshock.swell.cl/img/ico_hat_faded.png	(from https://tam-shellshock.swell.cl/styles/style.css?1615827388)
00:10:37	5255/5255	---M--	200	added ('OK')	image/png	etag:%2260089540-1487%22	https://tam-shellshock.swell.cl/img/ico_stamp_faded.png	C:/Users/Maaz/Desktop/https___tam-shellshock.swell.cl/tam-shellshock.swell.cl/img/ico_stamp_faded.png	(from https://tam-shellshock.swell.cl/styles/style.css?1615827388)
00:10:38	1307/1307	---M--	200	added ('OK')	image/png	etag:%2260089541-51b%22	https://tam-shellshock.swell.cl/img/pricetag_loop.png	C:/Users/Maaz/Desktop/https___tam-shellshock.swell.cl/tam-shellshock.swell.cl/img/pricetag_loop.png	(from https://tam-shellshock.swell.cl/styles/style.css?1615827388)
00:10:38	4817/4817	---M--	200	added ('OK')	image/png	etag:%2260089540-12d1%22	https://tam-shellshock.swell.cl/img/ico_cart.png	C:/Users/Maaz/Desktop/https___tam-shellshock.swell.cl/tam-shellshock.swell.cl/img/ico_cart.png	(from https://tam-shellshock.swell.cl/styles/style.css?1615827388)
00:10:38	1328/1328	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2022%20Mar%202021%2020:12:26%20GMT	https://tam-shellshock.swell.cl/styles/img/ico_chicken.png	C:/Users/Maaz/Desktop/https___tam-shellshock.swell.cl/tam-shellshock.swell.cl/styles/img/ico_chicken.png	(from https://tam-shellshock.swell.cl/styles/style.css?1615827388)
00:10:39	372/372	---M--	200	added ('OK')	image/png	etag:%2260089541-174%22	https://tam-shellshock.swell.cl/img/ico_twitch.png	C:/Users/Maaz/Desktop/https___tam-shellshock.swell.cl/tam-shellshock.swell.cl/img/ico_twitch.png	(from https://tam-shellshock.swell.cl/styles/style.css?1615827388)
00:10:39	301/301	---M--	200	added ('OK')	image/png	etag:%2260089541-12d%22	https://tam-shellshock.swell.cl/img/ico_youtube.png	C:/Users/Maaz/Desktop/https___tam-shellshock.swell.cl/tam-shellshock.swell.cl/img/ico_youtube.png	(from https://tam-shellshock.swell.cl/styles/style.css?1615827388)
00:10:39	807/807	---M--	200	added ('OK')	image/png	etag:%2260089540-327%22	https://tam-shellshock.swell.cl/img/ico_arrowLeftSheet.png	C:/Users/Maaz/Desktop/https___tam-shellshock.swell.cl/tam-shellshock.swell.cl/img/ico_arrowLeftSheet.png	(from https://tam-shellshock.swell.cl/styles/style.css?1615827388)
00:10:40	898/898	---M--	200	added ('OK')	image/png	etag:%2260089540-382%22	https://tam-shellshock.swell.cl/img/ico_arrowRightSheet.png	C:/Users/Maaz/Desktop/https___tam-shellshock.swell.cl/tam-shellshock.swell.cl/img/ico_arrowRightSheet.png	(from https://tam-shellshock.swell.cl/styles/style.css?1615827388)
00:10:40	852/852	---M--	200	added ('OK')	image/png	etag:%2260089540-354%22	https://tam-shellshock.swell.cl/img/ico_closeButton_states.png	C:/Users/Maaz/Desktop/https___tam-shellshock.swell.cl/tam-shellshock.swell.cl/img/ico_closeButton_states.png	(from https://tam-shellshock.swell.cl/styles/style.css?1615827388)
00:10:41	63084/63084	---M--	200	added ('OK')	image/jpeg	etag:%22604f91bc-f66c%22	https://tam-shellshock.swell.cl/img/vip-club/vip-club-give-stuff-popup-background.jpg	C:/Users/Maaz/Desktop/https___tam-shellshock.swell.cl/tam-shellshock.swell.cl/img/vip-club/vip-club-give-stuff-popup-background.jpg	(from https://tam-shellshock.swell.cl/styles/style.css?1615827388)
